county,year,weekwage,pctblk1990,pct65p1990,pctunivp1990,pctHSp1990,medhhinc1990,pctbelowPL1990,lnemp,lnest,lnweekwage,group,adv_int,frprof,frac_in_eng_prog,carnegie1_enr,indivhomeinternet00_cty,npatent1980s,netmig,highinc,highind,highpop,surv_deeppost95,higheduc,missing,surv_deeppost_91,surv_deeppost_92,surv_deeppost_93,surv_deeppost_94,surv_deeppost_95,surv_deeppost_96,surv_deeppost_97,surv_deeppost_98,surv_deeppost_99,surv_deeppost_00,surv_deeppost_01,educ_inc_ind_pop_dum_surv_deep91,educ_inc_ind_pop_dum_surv_deep92,educ_inc_ind_pop_dum_surv_deep93,educ_inc_ind_pop_dum_surv_deep94,educ_inc_ind_pop_dum_surv_deep95,educ_inc_ind_pop_dum_surv_deep96,educ_inc_ind_pop_dum_surv_deep97,educ_inc_ind_pop_dum_surv_deep98,educ_inc_ind_pop_dum_surv_deep99,educ_inc_ind_pop_dum_surv_deep01,allhigh,wagegrowth,iv_num_arpanet_nodes,iv_num_bitnet,iv_first_price_cap,iv_cost_per_loop_monthly,iv_bartik,iv_competitiondeep,netmig95,educ_inc_ind_pop_dum_surv_deep00,lnpop,iv_prog_in_oth,change_totalpop,change_pctblk,change_pctunivp,change_pctHSp,change_pct65,change_netmig,state,avgdmest,basic_int,msadum,msa,pop_surv_deeppost00,inc_surv_deeppost00,inc_dum_surv_deeppost00,ind_surv_deeppost00,ind_dum_surv_deeppost00,inc_ind_dum_surv_deeppost00,inc_pop_dum_surv_deeppost00,ind_pop_dum_surv_deeppost00,educ_surv_deeppost00,educ_dum_surv_deeppost00,educ_ind_dum_surv_deeppost00,educ_pop_dum_surv_deeppost00,educ_inc_ind_pop_surv_deep00,highinc2000,higheduc2000,highind2000,educ_inc_dum_surv_deeppost00,pc_per_emp,msa_allhigh,pctunempwt,pctunemphighskillwt,surv_deeppost00_all,highpop2000,allhigh2000,pop_dum_surv_deeppost00,wagediff,empdiff,estdiff,surv_deepwidewt_county,surv_deepalt1wt_county,surv_deepalt2wt_county,surv_deepalt3wt_county,deep_county,surv_deep_county,deeppost00,surv_deep_newweight
39149,2000,655,.01369253,.11628632,.11246067,.7302627,30929,.077458248,10.166506,6.84375,6.4846354,2115,.029574957,.29608753,0,0,0,96,-17,1,1,0,.029574957,0,1,0,0,0,0,0,0,0,0,0,.029574957,0,0,0,0,0,0,0,0,0,0,0,0,.2405303,0,0,95,23.274137,.13027725,.13897339,35,0,10.712527,52.252186,.064552434,.0049465857,-.028024673,-.19154924,.0057550147,-52,OH,.36363637,.79196095,0,,1328.3591,914.72382,.029574957,.0078166332,.029574957,.029574957,0,0,.0033260195,0,0,0,1221174.5,1,0,1,0,.33526209,1,,,.029574957,0,0,0,.21553898,.088812828,.05140543,.086039923,.086039923,.086039923,.086039923,.030303031,.033328764,.014878183,.034265216
39151,2000,544,.068152942,.14410545,.14327562,.76161867,27852,.11060571,11.958803,9.07658,6.2989492,2116,.095815897,.3656238,.00017693231,0,0,819,-374,1,0,1,.095815897,0,1,0,0,0,0,0,0,0,0,0,.095815897,0,0,0,0,0,0,0,0,0,0,0,0,.15010571,0,0,95,23.274137,.11930534,.10295222,-606,0,12.81471,79.50602,.028198836,.0035189539,-.026331514,-.217924,.0071780831,1249,OH,.375,.82676584,1,1320,35220.488,2668.6643,.095815897,.021036489,0,0,.095815897,0,.013728082,0,0,0,30857426,1,0,0,0,.27004486,0,.0640964208228514,.0185601799775028,.095815897,1,0,.095815897,.13985395,.06525898,.047761917,.21347594,.18797927,.18797927,.20565623,.088235296,.099092342,.06659323,.10119257
39153,2000,624,.11880814,.1382823,.1971654,.78512728,28996,.1214997,12.37276,9.5371952,6.4361506,2117,.15474612,.41704771,.0035836622,.041240972,0,2116,27,1,1,1,.15474612,1,1,0,0,0,0,0,0,0,0,0,.15474612,0,0,0,0,0,0,0,0,0,0,0,1,.18181819,0,1,95,23.274137,.12309989,.10767593,-524,.15474612,13.151903,90.535606,.052775815,.012192294,-.033105314,-.22544533,.0030791759,1414,OH,.43349755,.88975829,1,1692,79692.703,4487.0186,.15474612,.04526227,.15474612,.15474612,.15474612,.15474612,.03051058,.15474612,.15474612,.15474612,133261256,1,1,1,.15474612,.39946547,1,,,.15474612,1,1,.15474612,.16705418,.057062149,.078277588,.21222,.22984593,.22984593,.23998082,.13793103,.1579403,.1792655,.16822261
39155,2000,636,.066813573,.14424111,.11458034,.75392711,28186,.11404786,11.334672,8.4195805,6.4551988,2118,.089925185,.32144937,0,0,0,157,-307,1,0,1,.089925185,0,1,0,0,0,0,0,0,0,0,0,.089925185,0,0,0,0,0,0,0,0,0,0,0,0,.083475299,0,0,95,23.274137,.12042622,.11467059,-1193,0,12.336281,176.1093,-.011909292,.009582594,-.020001568,-.21441102,.012651339,886,OH,.50819671,.90601104,1,9320,20486.127,2534.6313,.089925185,.014960714,0,0,.089925185,0,.010303658,0,0,0,11007137,1,0,0,0,.3114025,0,.0754218219772266,.0314921829503203,.089925185,1,0,.089925185,.080173969,-.032487869,.036375999,.12478878,.14411001,.14411001,.14411001,.081967212,.094849512,.12165903,.17774366
39157,2000,462,.0074087288,.14893566,.090738684,.72236073,24773,.11122242,10.372115,7.7030077,6.1355648,2119,.15138468,.30545318,0,0,0,104,31,0,1,0,.15138468,0,1,0,0,0,0,0,0,0,0,0,.15138468,0,0,0,0,0,0,0,0,0,0,0,0,.16372795,0,0,95,23.274137,.11984421,.023255814,483,0,11.339643,44.533043,.078026354,-.00023711612,-.010794453,-.1958009,.00062325597,31,OH,.37209302,.9010253,0,,12729.938,3750.2527,0,.039355412,.15138468,0,0,0,.013736446,0,0,0,7439092,0,0,1,0,.20851642,1,,,.15138468,0,0,0,.15162849,.041922569,.033512592,.22420357,.22420357,.22420357,.22420357,.13953489,.15469582,.10012105,.1223793
39159,2000,866,.036535393,.11098251,.12041016,.76337892,33244,.074310191,9.9412651,6.6385679,6.763885,2120,0,.34154421,0,0,0,83,204,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.17503393,0,1,95,23.274137,.11960918,.11899409,1002,0,10.372522,98.545418,.2465834,-.012750896,-.0169053,-.20424205,-.013644524,-581,OH,.63636363,.75738513,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.43629485,1,,,0,0,0,0,.16129732,.18767071,.12682247,.1111339,.22266148,.22266148,.22266148,0,0,0,0
39161,2000,507,.0063353465,.14958639,.093531825,.79301846,28642,.070916787,9.301734,6.3225651,6.2285109,2121,0,.29184666,0,0,0,22,-54,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.16018307,0,0,95,23.274137,.12875716,0,-69,0,10.324301,29.508093,-.026780037,.0015206165,-.015207417,-.22555375,.0048018247,261,OH,.5714286,.80803645,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.17267972,1,,,0,0,0,0,.14857769,.050923347,-.0035843849,.1910512,.12941879,.25883758,.12941879,0,0,0,0
39163,2000,439,.0003604253,.13741215,.048255064,.58695966,19066,.23607937,7.3408356,5.1239638,6.0844994,2122,0,.2219951,0,0,0,15,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.18328841,0,0,95,23.274137,.13604167,0,172,0,9.3145199,0,.1431489,.0011232542,-.0083932951,-.11970899,-.015359983,-167,OH,0,.85797256,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.15978438,1,,,0,0,0,0,.16829729,-.088685036,-.0059347153,0,0,0,0,0,0,0,0
39165,2000,542,.021201134,.090581074,.1800881,.75528103,36728,.063523263,10.86163,7.9554253,6.2952662,2123,.097851343,.46995547,0,0,0,303,1883,1,0,0,.097851343,1,1,0,0,0,0,0,0,0,0,0,.097851343,0,0,0,0,0,0,0,0,0,0,0,0,.31234866,0,0,95,23.274137,.12348738,.045273237,2854,0,11.643155,69.825447,.32961628,.0062576216,.0089591444,-.18087447,.0037030354,-1089,OH,.43137255,.58828568,1,1642,11146.148,3593.884,.097851343,.023500262,0,0,.097851343,0,.017621864,.097851343,0,.097851343,17705698,1,1,0,.097851343,.3086904,1,,,.097851343,0,0,0,.27181864,.2896986,.22130394,.14345087,.13231722,.1617377,.13231722,.11764706,.13042982,.097364508,.18078445
39167,2000,512,.012432936,.13656954,.13298176,.77910995,24456,.13673776,9.9630766,7.3192024,6.2383246,2124,.070080623,.35596183,.0012477493,0,0,405,-66,0,0,0,.070080623,0,1,0,0,0,0,0,0,0,0,0,.070080623,0,0,0,0,0,0,0,0,0,0,0,0,.13777778,0,0,95,23.274137,.126799,.29186586,-38,0,11.038978,53.539124,.015888147,-.0048283129,-.034575716,-.22635037,.012692913,177,OH,.39285713,.85540795,1,6020,4362.7993,1713.8917,0,.014792589,0,0,0,0,.0093194451,0,0,0,2994945.8,0,0,0,0,.50593519,0,,,.070080623,0,0,0,.12907696,.024028778,.024825096,.14328077,.1044424,.1044424,.14328077,.071428575,.08011201,.045660812,.095120929
